,no2,city,pre_lockdown_model,dummy,lockdown_model,weekday,class,year
2016-01-02,46.53125,Opfikon_Balsberg,68.63269156685827,71.0504347826087,59.38004994029486,5,high traffic,2016
2016-01-03,44.02700000000001,Opfikon_Balsberg,58.99992256609773,70.663872635444,56.407107910155574,6,high traffic,2016
2016-01-04,61.57608695652174,Opfikon_Balsberg,65.19212953151957,65.19212953151957,54.215681282401654,0,high traffic,2016
2016-01-05,53.31041666666666,Opfikon_Balsberg,59.015108429657175,56.15170521368063,48.61812736319277,1,high traffic,2016
2016-01-06,49.05625000000001,Opfikon_Balsberg,52.43056158862744,48.99549860737005,41.53741058111485,2,high traffic,2016
2016-01-07,47.31375,Opfikon_Balsberg,59.028805877826834,54.073522294641464,48.488738522686745,3,high traffic,2016
2016-01-08,52.07454545454546,Opfikon_Balsberg,62.32084580478203,56.84365591575837,48.668100406768374,4,high traffic,2016
2016-01-09,55.7875,Opfikon_Balsberg,57.0031152058749,60.74593493175008,49.075550089436234,5,high traffic,2016
2016-01-10,54.53291666666666,Opfikon_Balsberg,51.49042513815844,61.66979015661349,47.41302543132507,6,high traffic,2016
2016-01-11,53.79083333333333,Opfikon_Balsberg,62.24035337538988,62.24035337538988,51.263905126271965,0,high traffic,2016
2016-01-12,30.66454545454545,Opfikon_Balsberg,49.38291401045004,46.98686326082953,39.45328541034167,1,high traffic,2016
2016-01-13,40.85375,Opfikon_Balsberg,40.675366250355594,38.010461648494726,30.55237362223952,2,high traffic,2016
2016-01-14,62.42416666666666,Opfikon_Balsberg,47.88408479265606,43.8643656785678,38.27958190661308,3,high traffic,2016
2016-01-15,34.06083333333333,Opfikon_Balsberg,51.878804045349945,47.31933349737438,39.143777988384386,4,high traffic,2016
2016-01-16,48.19727272727273,Opfikon_Balsberg,33.20369331066232,35.38384500669187,23.713460164378027,5,high traffic,2016
2016-01-17,40.7975,Opfikon_Balsberg,35.732226092236594,42.79628453298322,28.5395198076948,6,high traffic,2016
2016-01-18,52.62875,Opfikon_Balsberg,32.38948444993823,32.38948444993823,21.413036200820315,0,high traffic,2016
2016-01-19,60.77652173913042,Opfikon_Balsberg,49.40039814092924,47.003499064214594,39.469921213726735,1,high traffic,2016
2016-01-20,70.59428571428572,Opfikon_Balsberg,58.708747302530234,54.86236003479099,47.404272008535784,2,high traffic,2016
2016-01-21,63.66708333333333,Opfikon_Balsberg,55.81216210188766,51.12690570049649,45.542121928541775,3,high traffic,2016
2016-01-22,62.9475,Opfikon_Balsberg,61.71117320820726,56.287565592313165,48.11201008332317,4,high traffic,2016
2016-01-23,56.91416666666667,Opfikon_Balsberg,49.61104654141263,52.86850366363976,41.19811882132591,5,high traffic,2016
2016-01-24,53.91090909090909,Opfikon_Balsberg,42.24766001101721,50.59978278479149,36.343018059503066,6,high traffic,2016
2016-01-25,64.03500000000001,Opfikon_Balsberg,43.260888156480874,43.260888156480874,32.28443990736296,0,high traffic,2016
2016-01-26,59.86666666666667,Opfikon_Balsberg,36.808471649159586,35.022530745212705,27.488952894724846,1,high traffic,2016
2016-01-27,62.842083333333356,Opfikon_Balsberg,43.20387061587586,40.37330744617257,32.91521941991736,2,high traffic,2016
2016-01-28,62.9959090909091,Opfikon_Balsberg,44.15860339930842,40.45162679310907,34.86684302115435,3,high traffic,2016
2016-01-29,62.57583333333334,Opfikon_Balsberg,38.08011852425167,34.73337254446831,26.557817035478315,4,high traffic,2016
2016-01-30,29.75541666666668,Opfikon_Balsberg,35.181583380185415,37.491603170986394,25.82121832867255,5,high traffic,2016
2016-01-31,28.12583333333333,Opfikon_Balsberg,34.35806256688547,41.150456672329696,26.893691947041273,6,high traffic,2016
2016-02-01,32.66954545454546,Opfikon_Balsberg,32.24146328395832,32.24146328395832,21.265015034840403,0,high traffic,2016
2016-02-02,42.70499999999999,Opfikon_Balsberg,34.99090086867697,33.29314819578793,25.75957034530007,1,high traffic,2016
2016-02-03,49.4725,Opfikon_Balsberg,37.16865170301551,34.733494503479186,27.27540647722398,2,high traffic,2016
2016-02-04,33.64249999999999,Opfikon_Balsberg,40.96443491394468,37.52559875920915,31.940814987254434,3,high traffic,2016
2016-02-05,47.06695652173913,Opfikon_Balsberg,38.278084256830624,34.91393966997041,26.738384160980416,4,high traffic,2016
2016-02-06,53.80782608695653,Opfikon_Balsberg,38.336987425862674,40.85419077957269,29.183805937258846,5,high traffic,2016
2016-02-07,44.23,Opfikon_Balsberg,36.655770822474665,43.90240881844421,29.645644093155784,6,high traffic,2016
2016-02-08,27.057499999999994,Opfikon_Balsberg,36.87481185351018,36.87481185351018,25.898363604392266,0,high traffic,2016
2016-02-09,58.97166666666666,Opfikon_Balsberg,35.84275647333783,34.10367190861909,26.570094058131232,1,high traffic,2016
2016-02-10,40.88681818181818,Opfikon_Balsberg,34.92210920556672,32.6341374401548,25.176049413899598,2,high traffic,2016
2016-02-11,55.79666666666667,Opfikon_Balsberg,33.92155568313747,31.073947206342922,25.489163434388203,3,high traffic,2016
2016-02-12,33.74666666666667,Opfikon_Balsberg,38.907352948572985,35.487903847286155,27.31234833829616,4,high traffic,2016
2016-02-13,47.57041666666668,Opfikon_Balsberg,42.40242820130405,45.1865680526729,33.51618321035905,5,high traffic,2016
2016-02-14,46.5990909090909,Opfikon_Balsberg,33.24866029878251,39.82173186787125,25.564967142582827,6,high traffic,2016
2016-02-15,45.26624999999999,Opfikon_Balsberg,39.545710563567965,39.545710563567965,28.56926231445005,0,high traffic,2016
2016-02-16,26.99958333333333,Opfikon_Balsberg,28.537391798371626,27.152762308985203,19.619184458497344,1,high traffic,2016
2016-02-17,37.54125,Opfikon_Balsberg,35.95556123479012,33.59988138651722,26.141793360262014,2,high traffic,2016
2016-02-18,50.76681818181819,Opfikon_Balsberg,48.45238528101308,44.38495911884224,38.80017534688752,3,high traffic,2016
2016-02-19,54.27333333333333,Opfikon_Balsberg,44.22573088588017,40.33886569792028,32.16331018893029,4,high traffic,2016
2016-02-20,39.683333333333344,Opfikon_Balsberg,40.475027642823584,43.132614536448095,31.46222969413425,5,high traffic,2016
2016-02-21,20.68458333333333,Opfikon_Balsberg,29.3165490028324,35.11226446994166,20.855499744653233,6,high traffic,2016
2016-02-22,39.96636363636364,Opfikon_Balsberg,34.016517693841955,34.016517693841955,23.04006944472404,0,high traffic,2016
2016-02-23,35.88583333333333,Opfikon_Balsberg,31.464062268406597,29.937431216047692,22.403853365559833,1,high traffic,2016
2016-02-24,40.8875,Opfikon_Balsberg,38.80898495839584,36.26635898736913,28.808270961113926,2,high traffic,2016
2016-02-25,74.79541666666667,Opfikon_Balsberg,35.46564090813955,32.48841130734109,26.90362753538637,3,high traffic,2016
2016-02-26,36.82,Opfikon_Balsberg,44.874731362401974,40.93082749337042,32.75527198438043,4,high traffic,2016
2016-02-27,37.582083333333344,Opfikon_Balsberg,23.03942510003773,24.55219180455561,12.881806962241766,5,high traffic,2016
