,no2_2020,city,no2_2019,pre_lockdown_model,dummy,lockdown_model,weekday,class
3/16,38.37458333333333,Opfikon_Balsberg,,36.360338458759465,36.360338458759465,25.38389020964155,0,high traffic
3/17,29.481666666666666,Opfikon_Balsberg,,37.94675595115882,36.105585682770034,28.572007832282175,1,high traffic
3/18,24.459999999999994,Opfikon_Balsberg,36.61125,34.86726835888187,32.58288956971511,25.124801543459903,2,high traffic
3/19,31.156363636363636,Opfikon_Balsberg,32.1675,42.66789730572986,39.08606081244677,33.50127704049205,3,high traffic
3/20,27.58045454545454,Opfikon_Balsberg,28.043529411764702,40.020162328194516,36.502911789783944,28.32735628079395,4,high traffic
3/21,15.734166666666667,Opfikon_Balsberg,25.625416666666666,34.327676099465386,36.58162841039613,24.911243568082284,5,high traffic
3/22,8.22625,Opfikon_Balsberg,46.03416666666666,16.83297535405659,20.160759112218198,5.903994386929774,6,high traffic
3/23,12.507391304347825,Opfikon_Balsberg,48.64625,25.5933372612847,25.5933372612847,14.616889012166785,0,high traffic
3/24,17.540869565217385,Opfikon_Balsberg,42.17652173913044,31.696148889223227,30.158257032739513,22.624679182251654,1,high traffic
3/25,21.23708333333333,Opfikon_Balsberg,38.23260869565217,35.65502717130648,33.31903724060836,25.860949214353155,2,high traffic
3/26,22.16666666666667,Opfikon_Balsberg,20.295833333333334,35.092414534437076,32.14651612008085,26.561732348126128,3,high traffic
3/27,32.56583333333334,Opfikon_Balsberg,22.91666666666667,38.36175459675107,34.99025647779569,26.814700968805695,4,high traffic
3/28,21.46863636363636,Opfikon_Balsberg,19.80875,31.674968549121107,33.75474430653282,22.084359464218977,5,high traffic
3/29,20.245217391304344,Opfikon_Balsberg,36.60181818181818,29.6123083003171,35.46649370312062,21.209728977832196,6,high traffic
3/30,19.204999999999995,Opfikon_Balsberg,33.40958333333332,38.49469728694225,38.49469728694225,27.518249037824333,0,high traffic
3/31,19.350416666666664,Opfikon_Balsberg,36.42217391304347,25.347515813781204,24.11765857502498,16.584080724537117,1,high traffic
4/1,27.1590909090909,Opfikon_Balsberg,28.60458333333334,36.245436990191095,33.87076551859068,26.412677492335476,2,high traffic
4/2,32.26875,Opfikon_Balsberg,52.13045454545456,42.18521346423914,38.64389676938395,33.05911299742923,3,high traffic
4/3,27.26625,Opfikon_Balsberg,32.95375000000001,40.09011533424602,36.56671683855879,28.391161329568796,4,high traffic
4/4,16.30416666666667,Opfikon_Balsberg,55.76458333333333,18.324285751373345,19.52745680483438,7.857071962520537,5,high traffic
4/5,14.147272727272725,Opfikon_Balsberg,22.19791666666667,29.456053634283244,35.279348375820554,21.02258365053213,6,high traffic
4/6,28.223749999999992,Opfikon_Balsberg,26.764545454545452,37.23461869724989,37.23461869724989,26.258170448131978,0,high traffic
4/7,23.00958333333333,Opfikon_Balsberg,28.23,30.358087553089895,28.885118209417016,21.351540358929157,1,high traffic
4/8,27.36086956521739,Opfikon_Balsberg,44.75583333333333,37.882086092554154,35.40018722199992,27.942099195744717,2,high traffic
4/9,29.10954545454545,Opfikon_Balsberg,40.57625,32.94780977511869,30.1819442209607,24.597160449005983,3,high traffic
4/10,15.691250000000002,Opfikon_Balsberg,37.31499999999999,36.86675068368599,33.6266439187944,25.451088409804406,4,high traffic
4/11,17.95375,Opfikon_Balsberg,23.638333333333332,31.60678401662531,33.68208278339707,22.011697941083227,5,high traffic
4/12,15.774583333333332,Opfikon_Balsberg,25.217916666666664,28.50309445097616,34.137994566744844,19.88122984145642,6,high traffic
4/13,11.1,Opfikon_Balsberg,37.522083333333335,31.4022846032946,31.4022846032946,20.42583635417669,0,high traffic
4/14,15.144166666666665,Opfikon_Balsberg,45.57227272727273,24.80596333743988,23.60238213449276,16.068804284004898,1,high traffic
4/15,22.45458333333333,Opfikon_Balsberg,27.14375,36.28107663297191,33.90407017937106,26.445982153115857,2,high traffic
4/16,30.116666666666664,Opfikon_Balsberg,38.85083333333333,32.32125354997902,29.607985430754795,24.023201658800076,3,high traffic
4/17,28.242272727272724,Opfikon_Balsberg,25.125,36.0852083294676,32.913788948790554,24.73823343980056,4,high traffic
4/18,14.780000000000005,Opfikon_Balsberg,27.09272727272727,28.035153127500177,29.875938912006283,18.20555406969244,5,high traffic
4/19,8.247916666666669,Opfikon_Balsberg,26.00583333333333,17.89649205633398,21.434527034730355,7.177762309441931,6,high traffic
4/20,15.792083333333334,Opfikon_Balsberg,20.984166666666663,28.562090271223592,28.562090271223592,17.58564202210568,0,high traffic
4/21,19.57272727272727,Opfikon_Balsberg,18.562083333333334,32.53041265766751,30.9520424623126,23.41846461182474,1,high traffic
4/22,21.05416666666667,Opfikon_Balsberg,19.11409090909091,25.545901300691135,23.87222516177499,16.414137135519784,2,high traffic
4/23,23.082916666666666,Opfikon_Balsberg,36.83666666666667,38.31009100285628,35.09407871540291,29.50929494344819,3,high traffic
4/24,23.787499999999994,Opfikon_Balsberg,23.454285714285717,37.81538880188137,34.49190911349644,26.316353604506446,4,high traffic
4/25,18.788260869565214,Opfikon_Balsberg,,26.867548517996696,28.631669482541838,16.961284640227994,5,high traffic
3/16,44.80565217391304,StGallen_Blumenbergplatz,,43.1230881536093,43.1230881536093,38.66138756994684,0,low traffic
3/17,43.22208333333333,StGallen_Blumenbergplatz,,40.00159805109851,39.24140857727375,37.11392019050885,1,low traffic
3/18,39.88208333333335,StGallen_Blumenbergplatz,27.7091304347826,42.43826847176751,41.754711982971905,35.95406289232807,2,low traffic
3/19,43.18043478260869,StGallen_Blumenbergplatz,42.19521739130435,39.62624012777377,38.83252275972348,39.42111112240092,3,low traffic
3/20,38.90625,StGallen_Blumenbergplatz,45.11818181818182,33.913816613048986,32.636567420246074,29.04767190917989,4,low traffic
3/21,15.2625,StGallen_Blumenbergplatz,40.141666666666666,22.964928239714556,27.457683543485434,18.76146619481721,5,low traffic
3/22,8.249130434782609,StGallen_Blumenbergplatz,60.70166666666668,24.41548956698677,36.42207641099579,23.571735045245482,6,low traffic
3/23,18.521666666666665,StGallen_Blumenbergplatz,48.10166666666667,38.82670089896441,38.82670089896441,34.36500031530195,0,low traffic
3/24,28.02708333333333,StGallen_Blumenbergplatz,37.372727272727275,43.238674390346574,42.41696759024101,40.289479203476105,1,low traffic
3/25,29.80913043478261,StGallen_Blumenbergplatz,36.494761904761894,41.324530720504775,40.65891329223419,34.85826420159035,2,low traffic
3/26,34.2775,StGallen_Blumenbergplatz,32.065,51.035731385458725,50.013480819642446,50.60206918231989,3,low traffic
3/27,40.22541666666665,StGallen_Blumenbergplatz,35.583636363636366,54.91409978985568,52.84594596245352,49.257050451387336,4,low traffic
3/28,34.35478260869566,StGallen_Blumenbergplatz,42.885714285714286,38.17448401087834,45.64276841910002,36.946551070431795,5,low traffic
